Club,Website
MCIT Online Student Association (MOSA),https://pennclubs.com/club/mcit-online-student-association
Global Research and Consulting (GRC),https://pennclubs.com/club/global-research-and-consulting
Penn International Impact Consulting - PIIC,https://pennclubs.com/club/penn-international-impact-consulting
Penn Pre-Medical Association,https://pennclubs.com/club/penn-pre-med
Penn Neuroscience Society,https://pennclubs.com/club/penn-neurosci
Wharton Asia Exchange,https://pennclubs.com/club/wax
Chinese Students' Association (CSA),https://pennclubs.com/club/csa
Penn Barbell Club,https://pennclubs.com/club/penn-barbell-club
Penn Democrats,https://pennclubs.com/club/penn-dems
The College Dean's Advisory Board (DAB),https://pennclubs.com/club/the-college-deans-advisory-board
University of Pennsylvania Government and Politics Association,https://pennclubs.com/club/government-politics-association
Medical Emergency Response Team (MERT),https://pennclubs.com/club/medical-emergency-response-team-mert
Wharton Undergraduate Consulting Club (WUCC),https://pennclubs.com/club/wucc
Penn YDSA,https://pennclubs.com/club/penn-for-bernie
The Daily Pennsylvanian,https://pennclubs.com/club/the-daily-pennsylvanian
Penn Kidney Disease Screening and Awareness Program (KDSAP),https://pennclubs.com/club/penn-kdsap
Penn Outdoors Club,https://pennclubs.com/club/penn-outdoors
[SIC] The Social Impact Consulting Group,https://pennclubs.com/club/sic
Wharton GUIDE,https://pennclubs.com/club/wharton-guide
Social Deduction Club,https://pennclubs.com/club/social-deduction-club
Asian Media & Entertainment,https://pennclubs.com/club/asian-media-and-entertainment
Alpha Phi Omega,https://pennclubs.com/club/apo
Alpha Omega Epsilon,https://pennclubs.com/club/aoe
180 Degrees Consulting,https://pennclubs.com/club/180-degrees-consulting
West Philly Swingers,https://pennclubs.com/club/west-philly-swingers
Common Cents,https://pennclubs.com/club/pcc
Penn Spark,https://pennclubs.com/club/penn-spark
Penn Mock Trial,https://pennclubs.com/club/pennmocktrial
Asian Pacific Student Coalition (APSC),https://pennclubs.com/club/apsc
Assembly of International Students,https://pennclubs.com/club/ais
Vietnamese Students' Association (VSA),https://pennclubs.com/club/vsa
Penn Electric Racing,https://pennclubs.com/club/penn-electric-racing
Student Nurses at Penn,https://pennclubs.com/club/student-nurses-at-penn
Penn Theta Tau,https://pennclubs.com/club/theta-tau
Wharton Undergraduate Energy Group (WUEG),https://pennclubs.com/club/wharton-undergraduate-energy-group
Pan-Asian Dance Troupe,https://pennclubs.com/club/padt
Penn Glee Club,https://pennclubs.com/club/penn-glee-club
Wharton Marketing Undergraduate Student Establishment (MUSE),https://pennclubs.com/club/muse
Penn Aerospace Club,https://pennclubs.com/club/penn-aero
One for the World,https://pennclubs.com/club/oftw-undergrad
Hack4Impact,https://pennclubs.com/club/h4i
UnEarthed Penn,https://pennclubs.com/club/unearthed
Penn Band,https://pennclubs.com/club/penn-band
Project HEAL - Penn Chapter,https://pennclubs.com/club/project-heal
Penn Philippine Association,https://pennclubs.com/club/penn-philippine-association
PennScience Journal of Undergraduate Research,https://pennclubs.com/club/pennscience
Alzheimer's Buddies,https://pennclubs.com/club/alzheimers-buddies
Community School Student Partnerships,https://pennclubs.com/club/cssp
Penn Blockchain,https://pennclubs.com/club/penn-blockchain
Society of Women Engineers (Undergraduate),https://pennclubs.com/club/society-of-women-engineers-undergraduate
The WALK Magazine,https://pennclubs.com/club/the-walk-magazine
Penn Undergraduate Law Journal,https://pennclubs.com/club/pulj
We Can Swim!,https://pennclubs.com/club/we-can-swim
Penn SPAC Club,https://pennclubs.com/club/penn-spac-club
Penn Lions,https://pennclubs.com/club/penn-lions
Francophone Community Partnership,https://pennclubs.com/club/francophone-community-partnership
Japan Student Association,https://pennclubs.com/club/jsa
Penn Singers Light Opera Company,https://pennclubs.com/club/pennsingers
PENNaach,https://pennclubs.com/club/pennaach
Wharton Undergraduate Real Estate Club,https://pennclubs.com/club/wharton-undergraduate-real-estate-club
Penn Sustainability Consulting,https://pennclubs.com/club/penn-sustainability-consulting
Wharton Undergraduate Media & Entertainment Club (UME),https://pennclubs.com/club/ume
Bent Button Productions,https://pennclubs.com/club/bent-button
UPGRADE,https://pennclubs.com/club/upgrade
Matriculate,https://pennclubs.com/club/matriculate
Penn Aerial Robotics,https://pennclubs.com/club/penn-aerial-robotics
Penn Social Entrepreneurship Movement (PennSEM),https://pennclubs.com/club/pennsem
Penn Policy Consulting Group,https://pennclubs.com/club/penn-public-policy-consulting
MEDLIFE Penn,https://pennclubs.com/club/medlife-penn
Penn Music Mentoring Program,https://pennclubs.com/club/pmmp
Camp Kesem,https://pennclubs.com/club/camp-kesem
Penn Taiwanese Society,https://pennclubs.com/club/pts
Penn Climbing Club,https://pennclubs.com/club/climbing
Mex@Penn,https://pennclubs.com/club/mex
Wharton Investment & Trading Group (WITG),https://pennclubs.com/club/witg
Penn Ballet,https://pennclubs.com/club/penn-ballet
Off The Beat,https://pennclubs.com/club/offthebeat
Stimulus Children's Theatre Company,https://pennclubs.com/club/stimulus
Penn Reads Book Club,https://pennclubs.com/club/penn-reads
Shelter Health Outreach Program (SHOP),https://pennclubs.com/club/soup-kitchen-health-outreach-program
Service-Dog Training & Education Program at the University of Pennsylvania (STEP-UP),https://pennclubs.com/club/service-dog-training-education-program-at-the-university-of-pennsylvania
ADAPT,https://pennclubs.com/club/adapt
Penn Science Policy and Diplomacy Group,https://pennclubs.com/club/penn-science-policy-and-diplomacy-group
Penny Loafers,https://pennclubs.com/club/penny-loafers
West Philadelphia Tutoring Project,https://pennclubs.com/club/west-philadelphia-tutoring-project
Penn Appétit,https://pennclubs.com/club/penn-appetit
GlobeMed at Penn,https://pennclubs.com/club/globemed-at-penn
Phi Delta Epsilon,https://pennclubs.com/club/phi-delta-epsilon
Penn for Refugee Empowerment,https://pennclubs.com/club/penn-undergraduates-for-refugee-empowerment
The Signal Society,https://pennclubs.com/club/the-signal
Pennsylvania Players,https://pennclubs.com/club/pennplayers
Penn German Society,https://pennclubs.com/club/penn-german-society
Muslim Students' Association,https://pennclubs.com/club/muslim-students-association
Penn Computer Science Society,https://pennclubs.com/club/css
Penn Club Swim,https://pennclubs.com/club/club-swim
Reach-A-Peer Helpline,https://pennclubs.com/club/rapline
Active Minds,https://pennclubs.com/club/active-minds
Penn Beekeeping Club,https://pennclubs.com/club/penn-beekeeping
Penn Climate Ventures,https://pennclubs.com/club/penn-climate-ventures
PIT@Penn,https://pennclubs.com/club/pitpenn
Penn k-Beats,https://pennclubs.com/club/penn-k-beats
Hindu & Jain Association,https://pennclubs.com/club/hindu-jain-association
Friends of MSF at Penn,https://pennclubs.com/club/friends-of-msf-at-penn
Chinese Language and Culture Club,https://pennclubs.com/club/chinese-language-and-culture-club
Men's Water Polo,https://pennclubs.com/club/mens-water-polo
JHealth at Penn,https://pennclubs.com/club/jhealth-at-penn
StudentsCare at Penn,https://pennclubs.com/club/students-care
Sigma Psi Zeta Sorority,https://pennclubs.com/club/sigma-psi-zeta-sorority
Penn Rubik's Cube Club,https://pennclubs.com/club/penn-rubiks-cube-club
Penn Data Science Group,https://pennclubs.com/club/penn-data-science-club
Kite and Key Society,https://pennclubs.com/club/kite-and-key
Wharton Undergraduate Healthcare Club (WUHC),https://pennclubs.com/club/wharton-undergraduate-healthcare-club
Phi Chi Theta,https://pennclubs.com/club/phi-chi-theta
Korean Student Association (KSA),https://pennclubs.com/club/penn-ksa
PERIOD@Penn,https://pennclubs.com/club/penn-period-project
Penn Art Club,https://pennclubs.com/club/penn-art-club
Student Hospice Organization of Penn,https://pennclubs.com/club/shoop
TAMID at Penn,https://pennclubs.com/club/tamid-at-penn
Movimiento Estudiantil Chicano de Aztlan (MEChA de Penn),https://pennclubs.com/club/mecha-de-penn
Penn Badminton,https://pennclubs.com/club/penn-competitive-badminton-club
Penn Lens Club,https://pennclubs.com/club/penn-lens
Alpha Iota Gamma (AIR) Pre-healthcare Brotherhood,https://pennclubs.com/club/air
Women's Club Ultimate Frisbee (Venus),https://pennclubs.com/club/womens-club-ultimate-frisbee
"The Wharton Equity, Diversity, and Inclusion Group",https://pennclubs.com/club/the-wharton-equity-diversity-and-inclusion-group
Penn Debate Society,https://pennclubs.com/club/pds
Penn Club XCTF,https://pennclubs.com/club/penn-club-xctf
Engineering Student Activities Council (ESAC),https://pennclubs.com/club/esac
Pi Lambda Sigma,https://pennclubs.com/club/pi-lambda-sigma
Penn Raas,https://pennclubs.com/club/penn-raas
Shabbatones,https://pennclubs.com/club/shabbatones
Osiris Senior Society,https://pennclubs.com/club/osiris-senior-society
WQHS Radio,https://pennclubs.com/club/wqhs
Manāna,https://pennclubs.com/club/manana
Penn Symphony Orchestra,https://pennclubs.com/club/university-of-pennsylvania-chamber-and-symphony-orchestras
Moelis Access Science,https://pennclubs.com/club/moelis-access-science
Equilibria,https://pennclubs.com/club/equilibria
Penn Hype Dance Crew,https://pennclubs.com/club/penn-hype
Urban China Collective,https://pennclubs.com/club/urban-china-collective
Penn Catholic Newman Community,https://pennclubs.com/club/penn-catholic-newman-community
Penn Counterparts,https://pennclubs.com/club/counterparts
Grace Covenant Church,https://pennclubs.com/club/grace-covenant-church
The Christian Association Student Community,https://pennclubs.com/club/the-christian-association
Wharton Undergraduates in Public Policy,https://pennclubs.com/club/wupp
Access Engineering,https://pennclubs.com/club/access-engineering
SEAS Wellness,https://pennclubs.com/club/seas-wellness
Penn Special Olympics,https://pennclubs.com/club/penn-special-olympics
Wharton Alliance,https://pennclubs.com/club/wharton-alliance
Penn Equestrian Team,https://pennclubs.com/club/upenn-equestrian-club
Penn Dhamaka,https://pennclubs.com/club/penn-dhamaka
Transfer Student Organization,https://pennclubs.com/club/tso
Penn J-Bagel,https://pennclubs.com/club/penn-j-bagel
Penn Traditions,https://pennclubs.com/club/penn-traditions
Disney A Cappella,https://pennclubs.com/club/disney-a-cappella
Onda Latina,https://pennclubs.com/club/onda-latina
Collective Success @ Penn,https://pennclubs.com/club/collective-success
Wharton Korea Undergraduate Business Society,https://pennclubs.com/club/wharton-korea-undergraduate-business-society
Penn Autism Alliance,https://pennclubs.com/club/penn-speaks-for-autism
Black Pre-Law Association,https://pennclubs.com/club/black-pre-law-association
Big Brothers Big Sisters,https://pennclubs.com/club/penn-bigs
Penn Undergraduate Biotech Society (PUBS),https://pennclubs.com/club/pubs
Wharton Undergraduate Sports Business Club,https://pennclubs.com/club/sports-business
Penn Mahjong,https://pennclubs.com/club/penn-mahjong
Wharton Council,https://pennclubs.com/club/wharton-council
College Republicans,https://pennclubs.com/club/college-republicans
Black Wharton Undergraduate Association (BW),https://pennclubs.com/club/black-wharton-undergraduate-association-bw
Platypus Penn,https://pennclubs.com/club/platypus-affiliated-society
Ascendance Social Enterprise Club x Penn,https://pennclubs.com/club/ascendance-social-enterprise-club-upenn
Women's Club Lacrosse,https://pennclubs.com/club/womens-club-lacrosse
Full Measure A Cappella,https://pennclubs.com/club/full-measure-a-cappella
Anime@Penn,https://pennclubs.com/club/harrison-anime-club
Penn Astronomical Student Association,https://pennclubs.com/club/penn-astronomical-student-association
oSTEM at Penn,https://pennclubs.com/club/ostem-at-penn
Quadramics Theatre Co.,https://pennclubs.com/club/quadramics
Penn For Liberty,https://pennclubs.com/club/penn-for-liberty
Clio Society,https://pennclubs.com/club/clio-society
Penn Math Contest,https://pennclubs.com/club/upenn-math-contest
Penn Club Tennis,https://pennclubs.com/club/club-tennis
Penn Film Society,https://pennclubs.com/club/penn-film-society
FGLI DAB,https://pennclubs.com/club/fgli-dab
Penn Pickup Soccer,https://pennclubs.com/club/penn-pickup-soccer
Parkinson's Pals,https://pennclubs.com/club/parkinsons-pals
TEDxPenn,https://pennclubs.com/club/tedxpenn
Penn Innovators in Business (PIIB),https://pennclubs.com/club/penn-innovators-in-business-piib
Penn Leads the Vote,https://pennclubs.com/club/penn-leads-the-vote
Wharton Undergraduate Diversity and Inclusion Strategic Consulting Club (DISC),https://pennclubs.com/club/gender-balance-consulting-gbc
Google Developer Student Club (GDSC) Penn Chapter,https://pennclubs.com/club/developer-student-clubs-penn-chapter
Penn Alternative Breaks,https://pennclubs.com/club/penn-alt-breaks
Penn Engineering Council (PEC),https://pennclubs.com/club/penn-engineering-council
Quaker Notes,https://pennclubs.com/club/quaker-notes
Penn Brain Exercise Initiative,https://pennclubs.com/club/penn-brain-exercise-initiative
Penn Baking Club,https://pennclubs.com/club/penn-baking-club
Penn First,https://pennclubs.com/club/penn-first
Penn Animation,https://pennclubs.com/club/penn-animation
Penn Men's Club Volleyball,https://pennclubs.com/club/penn-mens-club-volleyball
Quaker Girls Dance Team,https://pennclubs.com/club/quaker-girls-dance-team
SPEC Spring Fling,https://pennclubs.com/club/spec-spring-fling
Every Nation Campus,https://pennclubs.com/club/every-nation-campus
The Inspiration A Cappella,https://pennclubs.com/club/inspiration
Penn Ping Pong,https://pennclubs.com/club/penn-table-tennis
Wharton Undergraduate Founders and Funders Association,https://pennclubs.com/club/penn-undergraduate-founders-and-funders-association
Penn Undergraduate Math Society,https://pennclubs.com/club/pums
Defenders of Wildlife @ Penn,https://pennclubs.com/club/defenders-of-wildlife-penn
Penn Infectious Disease Club,https://pennclubs.com/club/penn-infectious-disease-club
Dischord A Cappella,https://pennclubs.com/club/dischord-a-cappella
Nutrition Education Service Team (NEST),https://pennclubs.com/club/nutrition-education-service-team-nest
Without a Net,https://pennclubs.com/club/without-a-net
The Quant Hunters,https://pennclubs.com/club/quant-hunters
Writers For Mental Health,https://pennclubs.com/club/writers-for-mental-health
Underrepresented Student Advisory Board in Engineering,https://pennclubs.com/club/underrepresented-students-advisory-board-in-engineering
South Asia Society,https://pennclubs.com/club/south-asia-society
The Student Committee on Undergraduate Education (SCUE),https://pennclubs.com/club/the-student-committee-on-undergraduate-education-scue
Renewal College Fellowship,https://pennclubs.com/club/renewal-college-fellowship
American Institute of Chemical Engineers,https://pennclubs.com/club/aiche
Benjamin Franklin Scholars Undergraduate Advisory Board,https://pennclubs.com/club/benjamin-franklin-scholars-undergraduate-advisory-board
Australians and New Zealanders at Penn,https://pennclubs.com/club/anzap
Penn Sargam,https://pennclubs.com/club/sargam
Alloy Media,https://pennclubs.com/club/alloy-media
Consult Your Community,https://pennclubs.com/club/cyc
Men's Club Basketball,https://pennclubs.com/club/mens-club-basketball
Wharton Global Macro,https://pennclubs.com/club/wharton-global-macro
Penn Curling,https://pennclubs.com/club/penn-curling
United Minorities Council (UMC),https://pennclubs.com/club/united-minorities-council
Penn Tech Prophets,https://pennclubs.com/club/penn-tech-prophets
Penn Epilepsy Awareness Club,https://pennclubs.com/club/penn-epilepsy-awareness-club
Penn Undergraduate Capital Partners,https://pennclubs.com/club/penn-undergraduate-capital-partners
Penn Association for Gender Equity (PAGE),https://pennclubs.com/club/page
Penn Cycling,https://pennclubs.com/club/penn-cycling-and-triathlon
Penn Taekwondo Club (WTF),https://pennclubs.com/club/taekwondo-club-wtf
alpha Kappa Delta Phi,https://pennclubs.com/club/alpha-kappa-delta-phi
Penn Timmy Global Health (PTGH),https://pennclubs.com/club/penn-tgh
Penn Innovation Network | A Student Organization at the University of Pennsylvania,https://pennclubs.com/club/wharton-innovation-network
Penn Chinese Calligraphy,https://pennclubs.com/club/penn-chinese-calligraphy
Penn Women's Club Soccer,https://pennclubs.com/club/penn-womens-club-soccer
Women's Club Ice Hockey,https://pennclubs.com/club/womens-club-ice-hockey
Penn Women’s Club Basketball,https://pennclubs.com/club/womens-club-basketball
Rare @ Penn,https://pennclubs.com/club/rare-penn
Penn Spain,https://pennclubs.com/club/club-espana
Penn Bioethics Journal,https://pennclubs.com/club/bioethics-journal
Art and Wellness,https://pennclubs.com/club/art-and-wellness
Penn Science Across Ages,https://pennclubs.com/club/psaa
Penn Benjamins Peer Counseling,https://pennclubs.com/club/penn-benjamins
SPEC Film Society,https://pennclubs.com/club/spec-film-society
SPEC Concerts,https://pennclubs.com/club/spec-concerts
Penn Graduate Consulting Club,https://pennclubs.com/club/penn-graduate-consulting-club
Men's Club Soccer,https://pennclubs.com/club/mens-club-soccer
American Society of Mechanical Engineers,https://pennclubs.com/club/american-society-of-mechanical-engineers
Freaks of the Beat,https://pennclubs.com/club/fotb
International Relations Undergraduate Student Association,https://pennclubs.com/club/irusa
Men's Club Ultimate Frisbee,https://pennclubs.com/club/mens-club-ultimate-frisbee
Penn Bioethics Society,https://pennclubs.com/club/penn-bioethics-society
Lambda Alliance,https://pennclubs.com/club/lambda
Arts House Dance Company,https://pennclubs.com/club/arts-house
C-4,https://pennclubs.com/club/c-4
Penn Northeast Asia Economic Forum,https://pennclubs.com/club/penn-northeast-asia-economic-forum
Penn Engineers Without Borders,https://pennclubs.com/club/engr-wo-borders
Best Buddies,https://pennclubs.com/club/best-buddies
Wharton Dean's Undergraduate Advisory Board (WAB),https://pennclubs.com/club/wharton-deans-undergraduate-advisory-board-wab
Penn Undergraduate Criminology Society (PUCS),https://pennclubs.com/club/penn-undergraduate-criminology-society-pucs
Isla Urbana at Penn,https://pennclubs.com/club/isla-urbana-at-penn
YoungLife Skeptic's Dinner,https://pennclubs.com/club/round-table-dinner
Penn for LiNK (Liberty in North Korea),https://pennclubs.com/club/penn-link
PennYo A Cappella,https://pennclubs.com/club/pennyo-a-cappella
West African Vibe,https://pennclubs.com/club/west-african-vibe
Penn for UNICEF,https://pennclubs.com/club/unicef
Women in Computer Science (WiCS),https://pennclubs.com/club/women-in-computer-science-wics
Penn Students for Students,https://pennclubs.com/club/penn-students-for-students
SPEC Connaissance,https://pennclubs.com/club/spec-connaissance
The Canadian Club at Penn,https://pennclubs.com/club/canadian-students-association
Women's Club Water Polo,https://pennclubs.com/club/womens-club-water-polo
Veterans' Life Stories,https://pennclubs.com/club/veterans-life-stories
Adventist Students for Christ,https://pennclubs.com/club/adventist-students-for-christ
Divulge Alliance at Penn,https://pennclubs.com/club/divulge-alliance
PennFems,https://pennclubs.com/club/pennfems
Wharton Alumni Relations Council,https://pennclubs.com/club/wharton-alumni-relations-council
Penn Shotokan Karate Club,https://pennclubs.com/club/penn-shotokan-karate-club
The International Affairs Association (IAA),https://pennclubs.com/club/the-international-affairs-association
Biomedical Engineering Society (BMES),https://pennclubs.com/club/biomedical-engineering-society-bmes
Penn Judo Club,https://pennclubs.com/club/judo
The Invizibles at Penn,https://pennclubs.com/club/the-invizibles-at-penn
Pan-Asian American Graduate Student Association,https://pennclubs.com/club/pan-asian-american-graduate-student-association
Engineering Consultants at Penn - ECP,https://pennclubs.com/club/penn-engineering-consultants
Alexander Hamilton Society at Penn,https://pennclubs.com/club/alexander-hamilton-society-penn-chapter
The Penn Review Literary Magazine,https://pennclubs.com/club/the-penn-review-literary-magazine
PennAces,https://pennclubs.com/club/pennaces
Penn Epistle,https://pennclubs.com/club/the-penn-epistle
DiversaTech Penn,https://pennclubs.com/club/diversatech-penn
Nominations and Elections Committee (NEC),https://pennclubs.com/club/nominations-and-elections-committee-nec
Christian Students @ Penn,https://pennclubs.com/club/christian-students-penn
Penn Taekwondo Club (ITF),https://pennclubs.com/club/penn-taekwondo-club-itf
Front Row Theatre Company,https://pennclubs.com/club/front-row
Penn Masti,https://pennclubs.com/club/penn-masti
Wharton Wellness Board,https://pennclubs.com/club/wharton-wellness-board
Penn Polish Club,https://pennclubs.com/club/penn-polish-club
"Gamma Chapter of Delta Sigma Theta Sorority, Inc.",https://pennclubs.com/club/gamma-chapter-of-delta-sigma-theta-sorority-inc
Phi Alpha Delta (PAD),https://pennclubs.com/club/phi-alpha-delta
